id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,hatch_perc,sedan_perc,suv_perc,two_perc,three_perc,pedes_perc,bus_perc,truck_perc
21,0.006591712,0.02022673,0.011842513,0.022238227,0.005097998,-0.017988046,0.00656185,0.016962421,0.015043161,0.004292981,0.000881487,-0.008838591,-0.030906038,0.006000431,0.016385033,-0.033093014,-0.024484017,-0.010612119,0.014204506,-0.00960403,-0.010056658,-0.035851837,-0.003424588,0.002166665,0.004983539,0.003728067,-0.014382523,0.004633349,0.020476926,0.022830804,0.113186357,0.081368155,0.061545855,0.487699107,0.09358637,0.097152131,0.031183714,0.034278311
22,0.003760938,0.008227435,0.005987375,0.01622655,0.003409292,-0.040086209,0.007819037,0.01145721,-0.007791386,-0.00075275,0.004189018,-0.010423418,-0.015074656,0.002615852,0.014662454,-0.020565183,-0.007592995,-0.000952896,0.019967617,-0.011993445,-0.001224436,-0.03589,-0.006927354,-0.01609323,-0.000487925,0.001652124,-0.038960248,-0.000305725,0.014851111,0.024157579,0.113128256,0.081273954,0.045675694,0.435868555,0.101794189,0.1474303,0.03992088,0.034908173
23,0.017819721,0.034768632,0.026482468,0.025671248,-0.008591272,-0.037870597,0.00923294,0.023797215,0.01789046,0.01077944,0.003862436,-0.018412026,-0.040273692,0.015820615,0.02429769,-0.033975157,-0.009508223,0.001146018,0.004315477,-0.035167398,0.002227199,-0.03589,-0.022057977,-0.00763213,0.014254924,-0.005988584,-0.016708877,0.015849333,0.036097869,0.029665024,0.071825284,0.062089898,0.060622004,0.252781082,0.15490329,0.326474816,0.044837775,0.026465852
24,0.010996215,0.026680257,0.015585667,0.032289303,0.012348472,-0.016386135,0.007118131,0.02001856,0.013230881,0.003612737,0.006042734,-0.003587447,-0.030231825,0.009392959,0.016460993,-0.02983694,-0.023050864,-0.013438586,-0.001307714,-0.026556378,-0.014861351,-0.03608828,-0.011602414,-0.008234453,-0.001874465,0.002305896,-0.02042371,-0.000586521,0.013858159,0.012001203,0.085138181,0.058650997,0.047602733,0.497986509,0.10475731,0.164054403,0.021711621,0.020098246
25,0.006664108,0.022168084,0.013054525,0.020471053,0.006701185,-0.013248773,0.002230197,0.01295226,0.013140289,0.002365049,-0.000495722,-0.006303933,-0.026535664,0.002262325,0.011654011,-0.033363783,-0.023801466,-0.010655216,0.016175832,-0.008739422,-0.009641058,-0.036162748,-0.00692407,-0.002079336,0.000569151,-0.000593074,-0.011767928,0.002723122,0.016352106,0.020034072,0.121418128,0.08787081,0.072196452,0.459777506,0.109416298,0.089836035,0.030432216,0.029052554
26,0.002004007,0.011025113,0.022352903,0.018138172,0.003192866,-0.038971013,-0.000689694,0.018755402,0.015999131,0.008059949,0.000688565,0.002187018,-0.021618803,0.026306238,0.033400452,-0.036491316,-0.033865732,-0.010871365,0.011351414,-0.024678178,-0.005343286,-0.03589,0.007996481,-0.000964498,0.004388054,0.009705582,-0.027671528,0.019230556,0.037662854,0.029981389,0.098095882,0.055158852,0.0506982,0.368338139,0.140399345,0.260171654,0.02458363,0.002554297
27,0.00179957,0.016454512,0.008970093,0.022188991,0.006046646,-0.015771715,0.003788368,0.016038152,0.013549223,0.001552693,-0.005792713,-0.009873572,-0.032836231,-0.000181956,0.013348629,-0.0329739,-0.025687596,-0.010187084,0.019675812,-0.006787846,-0.007364843,-0.03589,-0.001386838,0.00912101,0.008868414,0.012011008,-0.011051871,0.008389935,0.021433098,0.027993694,0.054140703,0.031554173,0.026602805,0.630093927,0.126408345,0.074530607,0.038533052,0.018136386
28,-0.01953936,-0.031268196,-0.00276406,0.019419401,-0.01080007,-0.043939989,-0.000748503,-0.011209911,0.004146393,-0.010081822,0.00330215,-0.018050689,-0.038351268,0.017954048,0.013391427,-0.021254841,-0.018178306,-0.012900472,0.006997177,-0.037063673,-0.009016196,-0.03589,0.017937441,0.015278971,0.011969877,0.017531539,-0.038796205,0.028632636,0.030684953,0.0289152,0.10345533,0.103542258,0.044917654,0.400282232,0.106281786,0.174244677,0.038917981,0.028358082
29,-0.024331551,0.013636364,0.017647059,0.010427807,-0.012566845,-0.009625668,0.005080214,-0.002139037,0.00026738,0.004545455,0.007754011,-0.007219251,-0.015775401,0.004812834,0,-0.037165775,-0.028342246,0.03342246,0.04596,0.037700535,-0.023796791,-0.03589,-0.006417112,-0.02486631,0.002673797,0.005080214,-0.018181818,0.004812834,0.036096257,0.012299465,0.067128984,0.050937158,0.063053295,0.464123924,0.208565029,0.107545928,0.010734912,0.027910771
31,0.008030872,0.023020485,0.017441103,0.013962359,0.006151345,-0.019498662,0.000740058,0.004315683,0.011205427,-0.00592392,-0.005036771,-0.01095651,-0.03577779,0.001455492,0.009375283,-0.021234554,-0.021215612,0.001524966,0.012045647,-0.018270818,-0.02031557,-0.03589,-0.009271197,0.000513644,0.004509033,0.006770719,-0.003249027,0.008537024,0.033457582,0.02224162,0.050861962,0.044738999,0.037672245,0.509099945,0.271968768,0.044239757,0.039394225,0.002024099
